Buyer ID,Source Buyer ID,Record Type,Phone Number,return_rate,refund_frequency,high_value_return_ratio,version_diversity,category_diversity,avg_transaction_value
1017111,1017111,primary,946.470.6562,0.0,0.0,0.0,2,1,82.5
1017592,1017592,primary,+1-280-669-9016x272,0.0,0.0,0.0,1,1,53.33
1017832,1017832,primary,(253)775-5646x4170,0.0,0.0,0.0,1,1,57.5
1018425,1018425,primary,510.403.3092,-1.0,50.0,1.0,1,1,0.0
1018486,1018486,primary,319.237.4529x9124,0.0,0.0,0.0,2,2,67.91499999999999
1019378,1019378,primary,296-763-1931x4919,0.0,0.0,0.0,2,4,67.70750000000001
1019777,1019777,primary,+1-365-818-5067,0.0,0.0,0.0,2,2,50.835
1020022,1020022,primary,(672)762-8498x776,0.0,0.0,0.0,1,1,53.33
10201900000000,10201900000000,primary,714.273.7996,-0.25,20.0,0.21904761904761905,2,3,41.0
1020657,1020657,primary,552.373.5454x9480,0.0,0.0,0.0,4,2,69.3025
1020848,1020848,primary,367.683.7770,0.0,0.0,0.0,1,1,82.5
1021299,1021299,primary,763.849.5788,0.0,0.0,0.0,3,4,66.0
1021714,1021714,primary,001-485-557-4443x1351,0.0,0.0,0.0,2,1,74.16499999999999
1022206,1022206,primary,674.598.9413,0.0,0.0,0.0,1,1,66.75
1022382,1022382,primary,(924)308-2400x842,0.0,0.0,0.0,3,3,70.0
1022437,1022437,primary,6949777520,0.0,0.0,0.0,1,1,36.67
1022489,1022489,primary,616-371-9022,0.0,0.0,0.0,2,2,69.16666666666667
1023318,1023318,primary,818.969.9938,0.0,0.0,0.0,1,1,63.335
1023382,1023382,primary,649.364.9909x133,-0.3333333333333333,25.0,0.2665601136565441,5,5,45.105000000000004
1023486,1023486,primary,(932)681-2067,-0.25,20.0,0.24963503649635035,4,3,42.834
1024074,1024074,primary,5348471349,0.0,0.0,0.0,1,1,55.0
1024951,1024951,primary,683-624-2102,0.0,0.0,0.0,1,2,90.83333333333333
1025137,1025137,primary,217.846.4887x719,0.0,0.0,0.0,1,1,107.5
1025698,1025698,primary,001-459-940-1399x0490,0.0,0.0,0.0,2,5,69.16833333333334
1025724,1025724,primary,474.729.6717x56551,0.0,0.0,0.0,1,2,73.95750000000001
1025868,1025868,primary,(274)968-0715x45168,0.0,0.0,0.0,3,2,74.0
1026185,1026185,primary,(903)985-9770x34824,0.0,0.0,0.0,1,1,74.16499999999999
1026451,1026451,primary,809-332-4808,-0.25,20.0,0.29947460595446584,4,2,33.332
1026770,1026770,primary,817.912.7484,0.0,0.0,0.0,2,3,76.94333333333333
1028169,1028169,primary,737.682.6398x2146,0.0,0.0,0.0,1,1,107.5
10282100000000,10282100000000,primary,9447997278,0.0,100.0,0.0,2,1,-74.16499999999999
1029036,1029036,primary,988-867-5339x63605,0.0,0.0,0.0,1,1,66.0
1029062,1029062,primary,(227)402-8951x7187,0.0,0.0,0.0,1,3,62.89000000000001
1029141,1029141,primary,(221)374-5961x58657,0.0,0.0,0.0,3,4,52.125
1029657,1029657,primary,643.216.1172,0.0,0.0,0.0,2,2,55.83
1029746,1029746,primary,8504455623,-0.8,44.44444444444444,0.8476190476190476,6,4,4.814444444444444
1030179,1030179,primary,(421)596-9379,-0.8333333333333334,45.45454545454545,0.8494623655913979,5,1,5.302727272727273
1030400,1030400,primary,647.840.7482x175,0.0,0.0,0.0,1,1,55.0
1030675,1030675,primary,001-647-643-6713x695,0.0,0.0,0.0,2,4,75.375
1031472,1031472,primary,5647090974,0.0,0.0,0.0,1,1,53.33
1031483,1031483,primary,239.742.1047,0.0,0.0,0.0,1,1,63.33
1031879,1031879,primary,001-621-445-6232x8588,0.0,0.0,0.0,1,1,66.75
1032158,1032158,primary,374-851-7123x685,0.0,0.0,0.0,2,1,79.16666666666667
1032956,1032956,primary,7483175496,0.0,0.0,0.0,1,1,68.75
1033398,1033398,primary,+1-437-209-8593x17461,0.0,0.0,0.0,1,1,86.0
1033505,1033505,primary,9477113826,0.0,0.0,0.0,1,1,63.33
1034036,1034036,primary,+1-986-992-6179x64053,0.0,0.0,0.0,1,1,78.33
1034119,1034119,primary,551.358.5064,0.0,0.0,0.0,1,1,74.16666666666667
1034648,1034648,primary,513.590.0532x931,0.0,0.0,0.0,1,1,66.75
1035291,1035291,primary,652.490.4228,0.0,0.0,0.0,2,2,63.89000000000001
1035322,1035322,primary,402-605-3950,0.0,0.0,0.0,1,1,74.17
1035377,1035377,primary,3269811775,0.0,0.0,0.0,2,2,76.67
1036322,1036322,primary,939.308.4700x76617,0.0,0.0,0.0,1,2,69.75
1036663,1036663,primary,759-821-2499,-1.0,50.0,1.0,1,2,0.0
1036994,1036994,primary,+1-984-578-9611x836,0.0,0.0,0.0,1,1,51.75
1037245,1037245,primary,(357)366-1565x45271,0.0,0.0,0.0,1,2,64.66499999999999
1037442,1037442,primary,761-352-8098,0.0,0.0,0.0,2,2,74.16499999999999
1037468,1037468,primary,(556)304-9451x98327,0.0,0.0,0.0,2,2,78.33
1037756,1037756,primary,(285)614-9368x998,0.0,0.0,0.0,1,1,66.0
1038293,1038293,primary,8243455022,0.0,0.0,0.0,2,3,43.957499999999996
1038321,1038321,primary,(401)783-6675,-1.0,50.0,1.0,1,1,0.0
1038692,1038692,primary,859-991-0229x0147,0.0,0.0,0.0,3,3,93.36800000000001
1040317,1040317,primary,+1-976-643-8156x149,0.0,0.0,0.0,1,1,79.17
1041034,1041034,primary,4366900343,0.0,0.0,0.0,2,2,93.33500000000001
1041327,1041327,primary,751-307-6226x8388,-0.058823529411764705,5.555555555555555,0.05833813087699098,10,6,56.794444444444444
1041502,1041502,primary,(306)807-1596x9664,0.0,0.0,0.0,3,3,50.60999999999999
1041517,1041517,primary,5528975161,0.0,0.0,0.0,1,1,53.33
1041519,1041519,primary,001-468-316-4535,0.0,0.0,0.0,2,2,78.33500000000001
1042292,1042292,primary,418.383.5523x12432,0.0,0.0,0.0,1,1,61.67
1042516,1042516,primary,(777)499-7995,-0.2,16.666666666666664,0.1922246220302376,2,2,41.555
1042690,1042690,primary,917.974.4905x814,0.0,0.0,0.0,2,2,76.66499999999999
1043515,1043515,primary,8059411998,-0.25,20.0,0.11666666666666667,3,2,44.168
1043630,1043630,primary,001-480-279-3597,-0.25,20.0,0.4198682766190999,3,3,17.618000000000002
1043825,1043825,primary,415.718.2037x788,0.0,0.0,0.0,1,1,74.17
1044344,1044344,primary,(846)665-9051x518,0.0,0.0,0.0,1,1,79.17
1044521,1044521,primary,392-651-9254x629,0.0,0.0,0.0,4,3,65.21
1044616,1044616,primary,+1-265-728-1685,0.0,0.0,0.0,1,1,46.5
1044860,1044860,primary,223-757-3322x1418,-0.5,33.33333333333333,0.6202090592334495,5,3,15.138333333333334
1045367,1045367,primary,001-592-996-2229x27065,-0.4,28.57142857142857,0.4362745098039216,3,4,27.381428571428575
1046056,1046056,primary,+1-947-638-3473x597,0.0,0.0,0.0,1,1,61.67
1046214,1046214,primary,001-368-386-2392x40758,-1.0,50.0,1.0,1,2,0.0
1046356,1046356,primary,812-247-8261x3750,0.0,0.0,0.0,1,1,79.16
1046478,1046478,primary,(485)236-1530x5152,0.0,0.0,0.0,1,1,51.67
1046687,1046687,primary,872-377-9010x4328,-1.0,50.0,1.0,1,1,0.0
1046842,1046842,primary,001-243-541-0369x71179,0.0,0.0,0.0,2,3,76.16666666666667
1046899,1046899,primary,001-724-360-9539x621,0.0,0.0,0.0,2,2,54.165
1046960,1046960,primary,388.788.0670x65405,0.0,0.0,0.0,1,2,74.66499999999999
1047637,1047637,primary,419.952.0585,0.0,0.0,0.0,2,2,74.17
1048044,1048044,primary,001-772-621-7043x030,-0.5,33.33333333333333,0.5968992248062016,4,2,18.776666666666667
1048066,1048066,primary,868.874.0345x05415,-1.0,50.0,1.0,1,2,0.0
1048117,1048117,primary,001-876-452-7758x4161,0.0,0.0,0.0,1,1,53.33
1048855,1048855,primary,+1-845-411-5447,0.0,0.0,0.0,2,1,70.0
1049211,1049211,primary,001-775-470-5964x016,0.0,0.0,0.0,3,7,54.85375
1049611,1049611,primary,7298702135,-0.5,33.33333333333333,0.5517826825127334,2,3,21.998333333333335
10499800000000,10499800000000,primary,001-409-727-5571,0.0,0.0,0.0,1,1,74.17
1050424,1050424,primary,(654)931-0278x6814,0.0,0.0,0.0,1,1,36.67
1051025,1051025,primary,494.973.1217,0.0,0.0,0.0,1,1,61.67
1051120,1051120,primary,455-718-8442,0.0,0.0,0.0,1,1,55.0
1051484,1051484,primary,431.332.3705x89578,0.0,0.0,0.0,1,1,57.5
1051514,1051514,primary,446-778-6691,0.0,0.0,0.0,2,1,51.665
1052196,1052196,primary,+1-217-378-5289x2268,0.0,0.0,0.0,1,2,85.41499999999999
1053893,1053893,primary,624.422.5358x41438,0.0,0.0,0.0,1,1,79.16499999999999
1053945,1053945,primary,+1-749-281-8299x2299,0.0,0.0,0.0,2,2,52.5
1054312,1054312,primary,2109943969,0.0,0.0,0.0,1,1,61.67
1054723,1054723,primary,+1-884-947-3647x1027,0.0,0.0,0.0,1,1,58.33
1055949,1055949,primary,335.792.5556x258,0.0,0.0,0.0,1,1,99.17
1056000,1056000,primary,671.847.3210,0.0,0.0,0.0,1,1,61.75
1056261,1056261,primary,+1-963-625-9532x787,0.0,0.0,0.0,1,1,71.25
1056305,1056305,primary,901.968.7339x5004,0.0,0.0,0.0,1,1,80.0
1057385,1057385,primary,580-716-2456x5060,-0.5,33.33333333333333,0.5263157894736842,2,1,23.75
1057413,1057413,primary,+1-341-468-7849,0.0,0.0,0.0,1,1,82.5
1057980,1057980,primary,865-258-5239,0.0,0.0,0.0,1,1,79.17
1058200,1058200,primary,4027578729,-0.25,20.0,0.2578125,1,2,37.998000000000005
1058238,1058238,primary,+1-652-969-4958x887,0.0,0.0,0.0,1,1,29.17
1058401,1058401,primary,9556169409,0.0,0.0,0.0,1,2,66.25
1058966,1058966,primary,+1-299-330-9728x9623,0.0,0.0,0.0,1,1,74.17
1060909,1060909,primary,907.256.2636,0.0,0.0,0.0,2,2,62.5
1061152,1061152,primary,001-728-738-5786x527,0.0,0.0,0.0,1,1,71.25
1062722,1062722,primary,+1-749-973-3484x34437,0.0,0.0,0.0,1,1,36.67
1062790,1062790,primary,(284)641-9866x524,0.0,0.0,0.0,1,1,53.33
1063939,1063939,primary,001-415-374-7338x484,-0.25,20.0,0.3090435914118413,4,2,35.4
1064779,1064779,primary,+1-993-330-8330x165,0.0,0.0,0.0,1,1,74.17
1065100,1065100,primary,+1-520-282-6773x45401,0.0,0.0,0.0,3,4,67.97571428571429
1065122,1065122,primary,(262)606-7240,0.0,0.0,0.0,1,1,79.17
1065179,1065179,primary,001-491-954-7887,0.0,0.0,0.0,1,1,79.17
1065617,1065617,primary,531-452-7420x549,0.0,0.0,0.0,1,1,71.25
1065718,1065718,primary,+1-566-285-1612x275,0.0,0.0,0.0,1,1,48.33
1067115,1067115,primary,563-274-5499x045,0.0,0.0,0.0,1,1,79.16
1067119,1067119,primary,+1-417-942-6841x45933,-1.0,50.0,1.0,1,1,0.0
1067191,1067191,primary,(579)356-8783,0.0,0.0,0.0,1,1,86.25
1067545,1067545,primary,478.751.9108x83982,0.0,0.0,0.0,1,1,74.17
1067590,1067590,primary,971.239.7187x07286,0.0,0.0,0.0,1,1,99.17
1067735,1067735,primary,+1-374-206-4039,0.0,0.0,0.0,1,1,57.5
1067845,1067845,primary,(851)980-1704x62265,-1.0,50.0,1.0,1,1,0.0
1068391,1068391,primary,(261)282-5128x6823,-0.3333333333333333,33.33333333333333,0.3333333333333333,2,1,49.443333333333335
1068546,1068546,primary,378-268-6337x5243,0.0,0.0,0.0,1,2,51.75
1069520,1069520,primary,+1-269-803-3119x07903,-0.5,33.33333333333333,0.5,3,2,23.083333333333332
1069797,1069797,primary,738.530.2843x959,0.0,0.0,0.0,2,2,58.33
1070112,1070112,primary,928-236-4408x9268,0.0,0.0,0.0,2,1,79.16499999999999
1070215,1070215,primary,(568)556-6246x287,0.0,0.0,0.0,1,1,49.5
1070461,1070461,primary,527-708-6688x2634,-0.25,20.0,0.2671669793621013,4,2,32.55
1070752,1070752,primary,+1-317-551-8304x6990,0.0,0.0,0.0,1,1,89.0
1071044,1071044,primary,001-598-837-3540x33173,0.0,0.0,0.0,1,1,79.17
1071064,1071064,primary,685.746.7854,-1.0,50.0,1.0,2,1,0.0
1071151,1071151,primary,277.617.5355x60932,0.0,0.0,0.0,1,1,62.5
1071407,1071407,primary,+1-899-564-2353,0.0,0.0,0.0,1,3,74.22333333333334
1072324,1072324,primary,485.247.7725x2287,0.0,0.0,0.0,1,2,70.27666666666666
1072388,1072388,primary,701.200.6231x20387,0.0,0.0,0.0,3,3,63.1225
10728500000000,10728500000000,primary,+1-697-670-0886x008,0.0,0.0,0.0,1,1,24.17
1072932,1072932,primary,5866211823,-0.2727272727272727,21.428571428571427,0.30036085756739545,5,6,39.23857142857143
1072982,1072982,primary,(246)315-6793x341,0.0,0.0,0.0,1,1,79.16
1073187,1073187,primary,(366)287-0021x7659,0.0,0.0,0.0,1,2,82.8
1074131,1074131,primary,239.474.0148,0.0,0.0,0.0,1,1,74.17
1074403,1074403,primary,703-892-6142x93968,0.0,0.0,0.0,1,1,53.33
1074832,1074832,primary,001-821-785-0163x15999,0.0,0.0,0.0,1,1,74.17
1075305,1075305,primary,4478735866,0.0,0.0,0.0,1,2,79.17
1075473,1075473,primary,494-831-1426,0.0,0.0,0.0,2,3,71.7075
1075810,1075810,primary,951-810-4754x12126,0.0,0.0,0.0,1,1,74.17
1075996,1075996,primary,801-258-1995,0.0,0.0,0.0,2,2,48.415
1076646,1076646,primary,666-618-3982x6224,0.0,0.0,0.0,1,1,99.17
1076999,1076999,primary,921.526.4647x1543,0.0,0.0,0.0,1,1,63.33
1077078,1077078,primary,812.440.6596x575,0.0,0.0,0.0,1,1,81.67
1077133,1077133,primary,759-837-5265x4793,0.0,0.0,0.0,1,1,79.17
10774700000000,10774700000000,primary,565-919-3982x807,0.0,0.0,0.0,1,2,82.5
1077784,1077784,primary,916-872-4342x6617,0.0,0.0,0.0,1,1,79.17
1077975,1077975,primary,+1-386-580-5891,0.0,0.0,0.0,1,1,74.25
1078103,1078103,primary,+1-552-990-9656x10143,-0.3333333333333333,25.0,0.39853747714808047,4,3,34.2725
1078383,1078383,primary,(367)398-2507x146,0.0,0.0,0.0,1,2,66.75
1078506,1078506,primary,001-925-745-7387x5717,0.0,0.0,0.0,2,2,34.585
1078806,1078806,primary,440-410-5123,0.0,100.0,0.0,1,1,-74.17
1078958,1078958,primary,886-873-6226x60937,0.0,0.0,0.0,1,1,53.33
1079485,1079485,primary,7337419182,-1.0,50.0,1.0,1,2,0.0
1079791,1079791,primary,871.347.8596,-1.0,50.0,1.0,1,2,0.0
1080093,1080093,primary,(557)692-4991x251,-0.5,33.33333333333333,0.42424242424242425,2,1,26.39
1080581,1080581,primary,825-828-6692,0.0,0.0,0.0,1,1,74.17
1080742,1080742,primary,(478)728-2742,-0.25,20.0,0.1611842105263158,4,3,38.25
1080932,1080932,primary,890.950.7236x887,0.0,0.0,0.0,1,1,53.33
1080944,1080944,primary,(477)921-9034x04384,0.0,0.0,0.0,2,2,76.0
1081051,1081051,primary,001-778-281-9148,0.0,0.0,0.0,1,1,49.0
1081797,1081797,primary,001-378-536-1340x74517,0.0,0.0,0.0,1,2,78.33500000000001
1082506,1082506,primary,595.296.2923,-0.5,33.33333333333333,0.45066273932253315,2,2,25.903333333333336
1082931,1082931,primary,001-658-649-8254,0.0,0.0,0.0,1,1,57.5
1083052,1083052,primary,412.660.4223x25367,0.0,0.0,0.0,1,1,79.17
1083647,1083647,primary,+1-266-371-1684x5775,0.0,0.0,0.0,1,1,58.33
1083809,1083809,primary,001-775-418-6363x7454,0.0,0.0,0.0,2,1,79.16499999999999
1083843,1083843,primary,001-475-900-1701,0.0,0.0,0.0,1,1,59.33
1084373,1084373,primary,706.432.4241x541,-0.3333333333333333,25.0,0.31836248012718593,6,4,35.730000000000004
1085332,1085332,primary,9643361103,-0.5,33.33333333333333,0.5,1,1,22.0
1086358,1086358,primary,(893)487-0051,-1.0,50.0,1.0,1,1,0.0
1086871,1086871,primary,413.361.1155x4262,0.0,0.0,0.0,1,1,59.33
1086998,1086998,primary,390.492.7532x69731,-1.0,50.0,1.0,1,1,0.0
1087743,1087743,primary,001-619-265-6523x41389,0.0,0.0,0.0,1,1,74.17
1087774,1087774,primary,+1-543-989-8364x03761,0.0,0.0,0.0,1,1,74.16499999999999
1087906,1087906,primary,+1-491-980-5526x9658,0.0,0.0,0.0,1,1,99.0
1087993,1087993,primary,001-810-891-0430x06848,-0.5,33.33333333333333,0.5245486221095977,4,2,20.846666666666668
1088607,1088607,primary,001-561-488-9241x418,0.0,0.0,0.0,1,2,86.66499999999999
1089529,1089529,primary,+1-556-391-4630,0.0,0.0,0.0,3,2,67.75800000000001
1090054,1090054,primary,(717)699-0421x02027,-0.5,33.33333333333333,0.45174537987679664,4,3,22.25
1090144,1090144,primary,(352)641-0564,0.0,0.0,0.0,2,1,74.16499999999999
1090214,1090214,primary,001-491-677-8507x925,0.0,100.0,0.0,1,1,-55.62
1090251,1090251,primary,001-419-413-8000x30756,-0.09090909090909091,8.333333333333332,0.1087487781036168,6,6,50.653333333333336
10908000000000,10908000000000,primary,3867353654,-1.0,50.0,1.0,3,3,0.0
1091304,1091304,primary,980-623-8061,-0.25,20.0,0.3362369337979094,4,6,31.7505
1091332,1091332,primary,001-945-718-7053x49493,0.0,0.0,0.0,5,4,63.47
1091514,1091514,primary,001-573-783-2060,0.0,0.0,0.0,1,1,67.29
1091799,1091799,primary,+1-405-606-4138x3670,-4.0,80.0,4.77391304347826,4,5,-43.4
1091989,1091989,primary,303-486-5719,0.0,0.0,0.0,2,1,63.335
1092022,1092022,primary,+1-761-799-0623x4456,-1.0,50.0,1.0,2,3,0.0
1092070,1092070,primary,943.713.2912x127,-1.0,50.0,1.0,1,2,0.0
1092604,1092604,primary,(218)553-7474x11249,0.0,0.0,0.0,1,1,55.0
1093110,1093110,primary,521-335-6804x42067,0.0,0.0,0.0,1,1,82.5
1093162,1093162,primary,612.310.0323x651,0.0,0.0,0.0,7,5,66.66
1093303,1093303,primary,9132721510,-0.6666666666666666,40.0,0.7206477732793523,3,3,11.5
1093625,1093625,primary,(796)567-0662,0.0,0.0,0.0,1,1,25.5
1095725,1095725,primary,(544)672-0999,0.0,0.0,0.0,1,1,53.33
1096644,1096644,primary,268.870.1462x6383,0.0,0.0,0.0,1,2,72.5
1096731,1096731,primary,001-257-787-5985x642,0.0,0.0,0.0,1,1,51.67
1096840,1096840,primary,+1-530-540-7859x321,0.0,0.0,0.0,1,2,87.22333333333334
1096919,1096919,primary,780-239-6522x395,0.0,0.0,0.0,2,2,57.915
1097298,1097298,primary,001-259-392-9378x427,-1.0,50.0,1.0,1,1,0.0
1097315,1097315,primary,5394308705,0.0,0.0,0.0,1,1,58.33
1097479,1097479,primary,325-700-2921x85156,-0.3,23.076923076923077,0.2453236441932445,6,4,35.94846153846154
1097535,1097535,primary,452-826-7528x9539,0.0,0.0,0.0,2,2,55.415
10976000000000,10976000000000,primary,542-320-9690x2959,0.0,0.0,0.0,1,1,58.33
1098113,1098113,primary,525.513.5521x5704,-1.0,50.0,1.0,1,1,0.0
1098204,1098204,primary,001-915-841-0067x626,0.0,0.0,0.0,1,1,60.835
1098578,1098578,primary,(286)717-9327x104,0.0,0.0,0.0,1,2,84.585
1099142,1099142,primary,911-252-6218x159,0.0,0.0,0.0,1,2,61.335
1099460,1099460,primary,(629)662-0153x36884,0.0,0.0,0.0,1,2,67.91499999999999
1099793,1099793,primary,710.269.8720,-0.25,20.0,0.19875776397515527,3,3,43.0
1101127,1101127,primary,(614)897-3103x24171,0.0,0.0,0.0,1,1,68.75
1101416,1101416,primary,674.918.6256x5270,0.0,0.0,0.0,2,1,63.125
1101504,1101504,primary,543.249.0211x586,-0.6666666666666666,40.0,0.6900269541778976,3,3,9.583
1101534,1101534,primary,(486)387-9374x1608,0.0,0.0,0.0,1,1,82.5
1101755,1101755,primary,001-672-723-3206x16329,0.0,0.0,0.0,1,1,79.17
1101977,1101977,primary,001-811-368-6854x8709,-1.0,50.0,1.0,1,1,0.0
1102544,1102544,primary,(622)899-9119x14856,0.0,0.0,0.0,4,3,40.667500000000004
1102815,1102815,primary,+1-279-897-0246x2996,0.0,0.0,0.0,1,1,82.5
1103138,1103138,primary,430-674-5054x44713,-1.0,50.0,1.0,1,1,0.0
1103393,1103393,primary,001-775-246-9137x3678,0.0,0.0,0.0,1,1,91.37
1104346,1104346,primary,521.248.6289x02330,0.0,0.0,0.0,1,1,79.17
1104818,1104818,primary,705.934.5786x103,0.0,0.0,0.0,1,1,74.17
1104832,1104832,primary,+1-272-879-8552x414,0.0,0.0,0.0,1,1,74.17
1106474,1106474,primary,2292333346,-0.4,28.57142857142857,0.44768856447688565,2,3,27.024285714285718
1106781,1106781,primary,922.690.3494x4665,0.0,0.0,0.0,2,2,66.25
1106970,1106970,primary,774.689.6910,0.0,0.0,0.0,2,2,65.28
1107417,1107417,primary,517-215-4544x4328,0.0,0.0,0.0,1,1,74.17
1107542,1107542,primary,+1-565-720-7446x660,0.0,0.0,0.0,1,1,82.5
1107785,1107785,primary,001-438-675-8428x2417,0.0,100.0,0.0,1,1,-53.33
1107818,1107818,primary,001-682-951-3534x6554,0.0,0.0,0.0,1,1,82.5
1108537,1108537,primary,370-899-9173,0.0,0.0,0.0,1,1,40.83
1108792,1108792,primary,346.902.2356x97252,0.0,0.0,0.0,1,2,77.5
1108865,1108865,primary,825-800-7432x92712,-0.5714285714285714,36.36363636363637,0.571157495256167,4,4,19.69
1109309,1109309,primary,(267)260-0835x0583,0.0,0.0,0.0,1,1,79.17
1109397,1109397,primary,+1-233-654-2168x9421,0.0,0.0,0.0,1,1,49.165
1109479,1109479,primary,878-298-5625x7532,0.0,0.0,0.0,1,1,58.33
1109605,1109605,primary,732.230.9821,0.0,0.0,0.0,1,1,100.0
1110001,1110001,primary,(848)390-9010x0167,0.0,0.0,0.0,1,1,107.5
1110398,1110398,primary,+1-647-423-0461,0.0,0.0,0.0,1,1,53.33
1110903,1110903,primary,(518)791-4117x39348,0.0,0.0,0.0,3,3,48.79
1111056,1111056,primary,001-264-320-8737x530,0.0,0.0,0.0,1,1,79.17
1111355,1111355,primary,597-921-8114,0.0,0.0,0.0,1,1,79.17
1111804,1111804,primary,247-201-2045x5611,0.0,0.0,0.0,1,1,63.33
1112328,1112328,primary,(725)457-9415,-1.0,50.0,1.0,2,1,0.0
1112596,1112596,primary,366-474-6762,0.0,0.0,0.0,2,2,64.16499999999999
1112683,1112683,primary,001-702-216-9797x296,0.0,0.0,0.0,1,2,64.66499999999999
1113184,1113184,primary,+1-527-771-6701x45089,0.0,100.0,0.0,1,1,-74.17
1113819,1113819,primary,489.916.3756x28900,0.0,0.0,0.0,2,4,54.582499999999996
1113914,1113914,primary,821.575.3540x8386,-0.6666666666666666,40.0,0.6465944065301753,6,3,14.672666666666666
1113919,1113919,primary,377-997-1775,-1.0,50.0,1.0,1,1,0.0
1114116,1114116,primary,001-501-966-0880x1994,0.0,0.0,0.0,1,1,58.33
1115001,1115001,primary,550-237-5899x75711,0.0,0.0,0.0,1,1,51.67
1116446,1116446,primary,554-588-5102x72614,-1.0,50.0,1.0,2,2,0.0
1116725,1116725,primary,363-973-5160,0.0,0.0,0.0,2,2,61.2525
1116789,1116789,primary,498.427.0808x697,0.0,0.0,0.0,2,1,68.75
